timestamp,period_start,load,temperature,day_name,hour,tail
2011-08-28 06:00:00,2011-08-28 05:00:00,16.100000,69.880000,Sunday,5,low
2011-08-28 07:00:00,2011-08-28 06:00:00,16.100000,68.880000,Sunday,6,low
2011-08-28 04:00:00,2011-08-28 03:00:00,16.200000,71.720000,Sunday,3,low
2011-08-28 05:00:00,2011-08-28 04:00:00,16.200000,70.360000,Sunday,4,low
2011-08-28 03:00:00,2011-08-28 02:00:00,16.700000,72.720000,Sunday,2,low
2011-08-28 02:00:00,2011-08-28 01:00:00,17.800000,73.480000,Sunday,1,low
2011-08-28 08:00:00,2011-08-28 07:00:00,18.000000,70.960000,Sunday,7,low
2011-08-28 01:00:00,2011-08-28 00:00:00,18.300000,73.960000,Sunday,0,low
2011-08-28 00:00:00,2011-08-27 23:00:00,20.600000,74.240000,Saturday,23,low
2011-08-27 23:00:00,2011-08-27 22:00:00,22.200000,74.800000,Saturday,22,low
2011-08-27 22:00:00,2011-08-27 21:00:00,23.200000,74.880000,Saturday,21,low
2011-08-27 20:00:00,2011-08-27 19:00:00,23.800000,75.640000,Saturday,19,low
2011-08-27 21:00:00,2011-08-27 20:00:00,25.000000,75.320000,Saturday,20,low
2011-08-28 09:00:00,2011-08-28 08:00:00,25.000000,74.520000,Sunday,8,low
2011-08-27 19:00:00,2011-08-27 18:00:00,25.700000,75.960000,Saturday,18,low
2011-08-27 18:00:00,2011-08-27 17:00:00,25.700000,77.000000,Saturday,17,low
2011-08-27 17:00:00,2011-08-27 16:00:00,26.800000,78.120000,Saturday,16,low
2011-08-28 10:00:00,2011-08-28 09:00:00,31.300000,77.960000,Sunday,9,low
2011-08-27 16:00:00,2011-08-27 15:00:00,32.300000,78.960000,Saturday,15,low
2011-08-27 15:00:00,2011-08-27 14:00:00,33.400000,79.080000,Saturday,14,low
2011-08-28 11:00:00,2011-08-28 10:00:00,38.000000,81.080000,Sunday,10,low
2011-08-27 14:00:00,2011-08-27 13:00:00,39.100000,78.480000,Saturday,13,low
2011-08-28 12:00:00,2011-08-28 11:00:00,43.800000,82.840000,Sunday,11,low
2011-08-27 13:00:00,2011-08-27 12:00:00,44.700000,77.800000,Saturday,12,low
2006-10-03 03:00:00,2006-10-03 02:00:00,48.400000,53.440000,Tuesday,2,low
2006-10-03 04:00:00,2006-10-03 03:00:00,48.700000,52.840000,Tuesday,3,low
2011-08-29 04:00:00,2011-08-29 03:00:00,49.000000,67.440000,Monday,3,low
2011-08-29 05:00:00,2011-08-29 04:00:00,49.400000,66.680000,Monday,4,low
2006-10-03 02:00:00,2006-10-03 01:00:00,49.700000,54.160000,Tuesday,1,low
